epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0771,1.21717,1.46089,0.76137,0.90769,0.73991,0.68904,0.73769,0.44335,0.72993,0.68738,0.73253,0.40575,1.40562,1.88404,0.9226,0.96572,0.00015,0.00015,0.00015
2,149.947,1.18156,1.4363,0.723,0.91005,0.73579,0.63612,0.69353,0.4165,0.73297,0.62158,0.69005,0.3804,1.42908,1.9251,0.966,0.97354,0.000310953,0.000310953,0.000310953
3,222.282,1.20476,1.50316,0.74686,0.91194,0.73744,0.61621,0.6787,0.40397,0.73128,0.60789,0.67463,0.36372,1.44958,1.97976,0.99064,0.98192,0.000470298,0.000470298,0.000470298
4,293.199,1.19807,1.46124,0.74237,0.91538,0.78765,0.63348,0.71185,0.4264,0.77565,0.62014,0.70066,0.3882,1.44746,1.98396,0.97886,0.9782,0.000628033,0.000628033,0.000628033
5,367.446,1.21005,1.48317,0.74912,0.9063,0.73442,0.64237,0.70504,0.42285,0.73145,0.63712,0.70541,0.39254,1.44425,1.99282,0.99802,0.97766,0.00078416,0.00078416,0.00078416
6,439.429,1.21245,1.50375,0.76643,0.91335,0.74035,0.63456,0.70873,0.42262,0.73784,0.63363,0.71431,0.39322,1.44295,1.98443,1.01419,0.98008,0.000938678,0.000938678,0.000938678
7,510.993,1.20443,1.48519,0.75135,0.91066,0.73004,0.67222,0.70912,0.42255,0.7279,0.67005,0.70913,0.38476,1.44427,1.97287,1.01214,0.9828,0.00109159,0.00109159,0.00109159
8,583.316,1.25524,1.52491,0.78002,0.91268,0.72644,0.64699,0.68601,0.4097,0.72487,0.64509,0.68837,0.38058,1.44458,1.98021,1.03576,0.98096,0.00120669,0.00120669,0.00120669
9,659.248,1.21908,1.53174,0.75133,0.90719,0.72644,0.64699,0.68601,0.4097,0.72487,0.64509,0.68837,0.38058,1.44458,1.98021,1.03576,0.98096,0.0012005,0.0012005,0.0012005
10,733.63,1.19825,1.4788,0.75017,0.90663,0.70051,0.64629,0.67498,0.40082,0.69749,0.63975,0.67044,0.3662,1.45203,2.00737,1.04626,0.98326,0.00119431,0.00119431,0.00119431
11,806.233,1.24175,1.52747,0.7751,0.92065,0.72493,0.62265,0.67171,0.39251,0.71525,0.61218,0.66373,0.34864,1.45712,2.03545,0.99202,0.98609,0.00118812,0.00118812,0.00118812
12,880.644,1.23334,1.49269,0.7683,0.90682,0.68403,0.63698,0.66306,0.38677,0.68414,0.63669,0.66182,0.35241,1.45426,1.96049,0.97066,0.98734,0.00118194,0.00118194,0.00118194
13,953.911,1.23986,1.5375,0.77704,0.91745,0.70468,0.65469,0.67961,0.39545,0.67636,0.66478,0.67005,0.36483,1.46228,2.01316,0.96482,0.98618,0.00117575,0.00117575,0.00117575
14,1029.27,1.23476,1.48133,0.76646,0.9041,0.69255,0.68451,0.69023,0.40925,0.69344,0.67029,0.68553,0.37519,1.43292,1.95326,0.96183,0.97973,0.00116956,0.00116956,0.00116956
15,1101.81,1.23128,1.50966,0.755,0.91577,0.69255,0.68451,0.69023,0.40925,0.69344,0.67029,0.68553,0.37519,1.43292,1.95326,0.96183,0.97973,0.00116337,0.00116337,0.00116337
16,1173.63,1.2224,1.50656,0.7602,0.91581,0.71059,0.67679,0.70138,0.41657,0.70763,0.67318,0.7003,0.38369,1.43133,1.88716,0.97143,0.97851,0.00115719,0.00115719,0.00115719
17,1245.88,1.20693,1.49029,0.74277,0.90949,0.72635,0.68007,0.72075,0.42894,0.71862,0.67332,0.71353,0.39265,1.43487,1.915,0.98309,0.97827,0.001151,0.001151,0.001151
18,1316.93,1.21969,1.47943,0.758,0.9252,0.73281,0.65915,0.71653,0.43037,0.72574,0.65794,0.71549,0.39893,1.42663,1.93942,0.95845,0.9775,0.00114481,0.00114481,0.00114481
19,1386.9,1.20506,1.48287,0.74975,0.9169,0.70954,0.6602,0.70361,0.42262,0.70457,0.65533,0.70486,0.38758,1.42031,1.92874,0.93999,0.97709,0.00113863,0.00113863,0.00113863
20,1458.73,1.16493,1.43568,0.72371,0.90433,0.70954,0.6602,0.70361,0.42262,0.70457,0.65533,0.70486,0.38758,1.42031,1.92874,0.93999,0.97709,0.00113244,0.00113244,0.00113244
21,1533.98,1.1844,1.44464,0.73296,0.89426,0.70263,0.66561,0.69316,0.41784,0.70567,0.6665,0.70213,0.3922,1.4102,1.94094,0.94386,0.97402,0.00112625,0.00112625,0.00112625
22,1605,1.19384,1.5001,0.7297,0.91328,0.67811,0.67526,0.68777,0.40648,0.67475,0.66857,0.6863,0.37968,1.43429,2.01477,0.95606,0.97943,0.00112006,0.00112006,0.00112006
23,1681.36,1.18414,1.47163,0.71681,0.90552,0.679,0.66682,0.68469,0.40458,0.67373,0.66179,0.67987,0.37194,1.43423,2.02548,0.96656,0.97904,0.00111388,0.00111388,0.00111388
24,1789.09,1.2057,1.50518,0.74982,0.90741,0.70755,0.66984,0.70116,0.41908,0.77206,0.62674,0.70197,0.38255,1.42234,1.94911,0.95129,0.97572,0.00110769,0.00110769,0.00110769
25,1859.66,1.18778,1.46546,0.72526,0.91071,0.70755,0.66984,0.70116,0.41908,0.77206,0.62674,0.70197,0.38255,1.42234,1.94911,0.95129,0.97572,0.0011015,0.0011015,0.0011015
26,1933.44,1.19493,1.49265,0.73582,0.90057,0.73872,0.66278,0.71132,0.42842,0.7354,0.6592,0.71,0.38443,1.42388,1.95357,0.94441,0.97748,0.00109531,0.00109531,0.00109531
27,2008.64,1.19981,1.45054,0.7362,0.89959,0.73853,0.65613,0.71255,0.43372,0.739,0.65615,0.71831,0.39835,1.42414,1.92193,0.94883,0.97835,0.00108913,0.00108913,0.00108913
28,2082.22,1.15022,1.42898,0.71459,0.89843,0.73902,0.6428,0.71068,0.428,0.74239,0.63912,0.71843,0.40283,1.44112,1.95401,0.96176,0.98187,0.00108294,0.00108294,0.00108294
29,2158.5,1.18191,1.45067,0.7203,0.90894,0.73303,0.66843,0.72392,0.43684,0.72498,0.66026,0.71683,0.39971,1.43363,1.97207,0.94392,0.97853,0.00107675,0.00107675,0.00107675
